,id,encode
0,0,"[-1.02751642e-01 -7.32044689e-03  5.44138327e-02 -2.63254736e-02
 -8.35128278e-02 -3.93423401e-02 -9.71709713e-02 -8.49073082e-02
  1.12649933e-01 -1.97702318e-01  1.80504709e-01 -7.96212330e-02
 -1.89649165e-01  8.27189349e-03 -4.39205766e-02  2.04499468e-01
 -1.64146096e-01 -1.53664023e-01 -1.02760077e-01 -1.86864752e-02
  4.48253229e-02 -4.03119773e-02 -3.00758835e-02  3.11024580e-02
 -4.55734879e-02 -3.10734540e-01 -1.29426181e-01 -5.78236617e-02
  4.71405908e-02 -5.49063347e-02 -1.11278206e-01  1.56526715e-02
 -1.04921043e-01  1.07335858e-03  9.38757360e-02  1.27648875e-01
  5.38328178e-02 -9.13890600e-02  2.10273117e-01 -7.55388811e-02
 -2.90296018e-01  4.26887795e-02  1.08412132e-01  1.67831376e-01
  2.21703872e-01  5.55080138e-02 -1.25994124e-02 -1.68453619e-01
  1.99862063e-01 -1.64215922e-01  4.89593372e-02  1.51027143e-01
  1.04566127e-01  1.15320630e-01  2.53459997e-03 -1.61384165e-01
  7.19235614e-02  1.32932946e-01 -1.27301142e-01  6.20341860e-04
  1.00658752e-01 -1.30691081e-01  1.58684608e-03 -2.91494392e-02
  1.62462696e-01  8.22515190e-02 -1.33266181e-01 -2.70020694e-01
  1.30361244e-01 -2.16641277e-01 -3.54863070e-02  9.11371112e-02
 -1.70005858e-01 -1.89378604e-01 -2.78557330e-01 -1.60840154e-03
  3.93255711e-01  1.48988694e-01 -1.70170173e-01  8.05036575e-02
 -3.20642558e-03 -4.01018150e-02  1.40391350e-01  2.02588513e-01
 -3.99868190e-03 -1.03638973e-03 -9.15642306e-02 -2.57059820e-02
  2.80710936e-01 -6.14415593e-02  3.08651011e-04  1.43948972e-01
 -5.33266552e-03  7.16111884e-02  1.15584247e-02  9.40428972e-02
 -7.89977759e-02 -9.80703719e-03 -1.47535399e-01 -2.73065679e-02
  3.87952663e-04 -4.42944095e-03 -2.02479605e-02  7.36108571e-02
 -1.40184239e-01  1.21451333e-01 -7.11281523e-02  2.45057568e-02
 -3.74251120e-02 -1.28764389e-02 -4.78374660e-02 -3.00106425e-02
  1.33591354e-01 -1.99217290e-01  1.66912585e-01  2.05152109e-01
  1.04414284e-01  1.09934114e-01  1.33907840e-01  1.13278531e-01
  3.48933712e-02 -2.66922414e-02 -2.14430809e-01 -4.46417853e-02
  4.64832373e-02  1.24678165e-02  8.30627009e-02  1.03921490e-03]"
1,0,"[-0.05874577  0.02006761  0.05089779 -0.0149508  -0.0876771  -0.02042177
 -0.05102867  0.00562873  0.1105615  -0.08361157  0.15767431 -0.10978042
 -0.18105455 -0.01943717 -0.03189074  0.16641122 -0.18694654 -0.14602382
 -0.09675198 -0.01649984  0.03601005 -0.06054144 -0.00929506  0.05025106
 -0.08632475 -0.37691963 -0.0878556  -0.09537106  0.09355416 -0.05557077
 -0.02216542 -0.00339552 -0.15668735  0.01606958  0.0867147   0.12906511
 -0.00271215 -0.06331187  0.23619366 -0.04158479 -0.23134266  0.06877802
  0.0590004   0.2292892   0.21875797  0.08701036  0.01072308 -0.09924396
  0.16764762 -0.1833325   0.10522805  0.17604744  0.12910384  0.0695089
  0.06345125 -0.11690535  0.05264011  0.16953577 -0.18507236  0.05435643
  0.03974752 -0.06205349 -0.00129269 -0.01481631  0.14198896  0.06985369
 -0.1109982  -0.21075793  0.17107663 -0.2066198  -0.02822385  0.02945596
 -0.11758406 -0.16640317 -0.31500241  0.02158095  0.39871663  0.1383421
 -0.20150891  0.05351736  0.04102529 -0.05713165  0.09547841  0.15589063
 -0.12090833 -0.01337563 -0.12287222  0.04182083  0.20831166 -0.04062428
  0.00532605  0.13655521 -0.01441324  0.02950696 -0.00309508  0.02382163
 -0.10803105  0.01013631 -0.17697769 -0.06176332  0.06891467 -0.00150654
 -0.01399844  0.09421485 -0.18527725  0.10141313 -0.04970764 -0.05313451
 -0.05453442  0.01686793 -0.11112508 -0.00095328  0.16503435 -0.18935172
  0.1861726   0.20447978  0.09564331  0.08678012  0.15380928  0.02127019
  0.07366136 -0.03783059 -0.20804332 -0.04480764  0.01698744  0.01664863
  0.07572011  0.02666835]"
2,0,"[-0.1286435   0.07820708  0.05860586 -0.04383249 -0.09249516 -0.01085858
 -0.08707368 -0.1152258   0.08177621 -0.14905843  0.21806772 -0.0495613
 -0.16534217 -0.01113608 -0.06778502  0.13707396 -0.19933562 -0.13478127
 -0.03213218  0.00048302  0.10872816  0.08617537 -0.01561158  0.02831584
 -0.05571155 -0.25068977 -0.05272366 -0.0596696   0.06350637  0.0050195
 -0.0943417  -0.02575076 -0.14860494 -0.01241701  0.08053023  0.13626185
  0.01047916 -0.02901252  0.16464804 -0.02820115 -0.23526943  0.06670439
  0.08339934  0.23061088  0.22802751  0.0696725  -0.07175188 -0.19583642
  0.12672414 -0.14426139  0.04610556  0.17130145  0.13769077  0.08254594
  0.03253591 -0.16327362  0.05205624  0.09525458 -0.07859971 -0.00931362
  0.08800377 -0.00723626  0.06680053 -0.10240535  0.19080569  0.00721
 -0.11848    -0.23040095  0.07879845 -0.16769876 -0.17991464  0.13290288
 -0.14469729 -0.15206426 -0.25369281 -0.03882885  0.39149892  0.16827823
 -0.22951663  0.04623643 -0.01090589 -0.04744231  0.18205442  0.15676984
 -0.0013351   0.00513008 -0.10360805 -0.05814274  0.23951945 -0.03266328
 -0.0575454   0.17614743  0.02054996  0.08790123  0.02930644  0.02856948
 -0.06817114  0.05760323 -0.17499828 -0.10263814 -0.0134722   0.00770063
 -0.01366628  0.16246173 -0.16912679  0.16152789 -0.03355102  0.05858736
  0.00963566  0.01044362 -0.05194132  0.01871336  0.13412222 -0.21133474
  0.19142567  0.16749328  0.09765328  0.0849035   0.14768374  0.06793848
 -0.00744506  0.01383208 -0.26078758 -0.06289444  0.04627839 -0.06426737
  0.13804668  0.02273433]"
3,0,"[-0.05997365  0.02653168  0.03377719 -0.02070237 -0.06989823 -0.06469386
 -0.06288561 -0.10220022  0.07577768 -0.12725449  0.2518703  -0.07029465
 -0.17681356 -0.08864173 -0.04090426  0.16475618 -0.23561126 -0.17101425
 -0.06211882 -0.02635607  0.10264136 -0.05052875 -0.01386786  0.03633804
 -0.03758183 -0.29379082 -0.11782432 -0.03123935  0.1149999  -0.0302443
 -0.07181874 -0.00866593 -0.20870104 -0.07702087  0.07614251  0.04187497
  0.0477154  -0.07101116  0.21819173 -0.05591514 -0.20428278  0.10474706
  0.09688646  0.22262579  0.26801002  0.06908106 -0.00523211 -0.16837668
  0.1537956  -0.18196663  0.0520623   0.19162089  0.11160883  0.07925496
 -0.02946638 -0.13455756  0.03535995  0.09955373 -0.09138528  0.02777005
  0.13180292 -0.06601974  0.03571487 -0.0627697   0.19555929  0.00194497
 -0.13548489 -0.25541732  0.09106278 -0.16323607 -0.07968343  0.06630217
 -0.1680896  -0.11678221 -0.3148644   0.01499789  0.46062765  0.07055854
 -0.1677819   0.11108875 -0.07588454 -0.03370656  0.13351212  0.12967901
 -0.02758856 -0.01842157 -0.12504944  0.03244923  0.26864532 -0.03415971
 -0.03857283  0.16110815 -0.02145913  0.08741294  0.05671725  0.09241494
 -0.05291333  0.03416137 -0.14314994  0.01288465 -0.00675409 -0.02896357
  0.00322246  0.10561737 -0.12368435  0.11761348 -0.05540018  0.07233509
 -0.03037436 -0.02612419 -0.09886688  0.01243854  0.09225196 -0.2302347
  0.22317834  0.16464521  0.1259618   0.06566899  0.14108345  0.08015779
 -0.00300949 -0.00605078 -0.21145841 -0.03942896  0.02141125 -0.00781988
  0.14961044  0.02294157]"
4,0,"[-0.07216693  0.02828021  0.00179649 -0.0645465  -0.07737517 -0.06202583
 -0.02762619 -0.10709067  0.12552674 -0.10534174  0.19854547 -0.07122123
 -0.21944143 -0.11509174 -0.05978617  0.15940821 -0.20386733 -0.13617808
 -0.04049852 -0.02465393  0.12244322 -0.03778597 -0.01862341  0.05860955
 -0.06623007 -0.29275677 -0.10264329 -0.07118636  0.05169316 -0.02261885
 -0.06094297  0.00117213 -0.22380918 -0.11528448  0.06189282  0.08877376
  0.02576832 -0.06826888  0.1816681  -0.08959351 -0.20953906  0.06073266
  0.10292443  0.17940594  0.20199919  0.08370108  0.00720977 -0.15876696
  0.13223651 -0.15205063  0.02560531  0.17149331  0.07596939  0.0424724
  0.00550767 -0.14657034  0.02837992  0.1334278  -0.14273298  0.02989265
  0.10173082 -0.07699259  0.02196717 -0.07705402  0.17601863 -0.00942313
 -0.11671187 -0.2321171   0.14251971 -0.19421776 -0.06581848  0.07203539
 -0.13444668 -0.172517   -0.31099156  0.01294023  0.39053398  0.14792417
 -0.1586964   0.08989209 -0.08116558 -0.01664781  0.1543612   0.0944823
  0.03398075  0.00517609 -0.13804473  0.00094149  0.25779212 -0.04223088
 -0.0263575   0.16424331 -0.02040397  0.05064575  0.00946598  0.05109963
 -0.10508253  0.05338231 -0.16561384  0.00201063  0.03317281 -0.02322066
  0.00726333  0.11827635 -0.11813106  0.06907929 -0.05720579  0.00838068
 -0.06869099 -0.04094608 -0.13333558 -0.00120747  0.12871131 -0.20857038
  0.25151443  0.17505437  0.08983166  0.09223014  0.14510883  0.0612497
  0.01471433 -0.06064023 -0.2248649  -0.0763672   0.06708931 -0.02595715
  0.18245175 -0.00243744]"
5,0,"[-0.06911963 -0.01249247  0.02769072 -0.04654505 -0.0310002  -0.10798263
 -0.07713838 -0.10233609  0.10625339 -0.09481318  0.17287312 -0.0899095
 -0.16235271 -0.03521143 -0.03358208  0.15943903 -0.18818586 -0.10660023
 -0.08220783 -0.04822287  0.05513417 -0.03404772 -0.02318427  0.03123059
 -0.07053687 -0.31678155 -0.12568283 -0.07531822  0.04412985 -0.02086587
 -0.06742183 -0.00547742 -0.15357731 -0.05442356  0.08545832  0.07440241
  0.00416773 -0.12042705  0.21874456 -0.04511119 -0.18063313  0.05924939
  0.07870924  0.17484426  0.2268267   0.11182625  0.00160677 -0.12530032
  0.18496041 -0.18047155  0.00493894  0.14279929  0.04013873  0.06344579
  0.00322131 -0.11624829  0.08566303  0.1253695  -0.1554856  -0.02037455
  0.08996218 -0.09734121 -0.01872049 -0.0176421   0.24255151  0.08164237
 -0.13258016 -0.16433933  0.12925802 -0.18646415 -0.05272838 -0.01880276
 -0.13238363 -0.13980137 -0.28017429  0.01893066  0.42261705  0.09128226
 -0.18289357  0.08735672 -0.04715114  0.00348238  0.18636435  0.10529363
 -0.06262691 -0.04079056 -0.1096326  -0.0621985   0.28524506 -0.01661478
 -0.00805592  0.13238935 -0.01688345  0.08723639  0.03908647  0.01754694
 -0.0987706  -0.00505538 -0.11075244 -0.00113731  0.0738246  -0.00236423
  0.00160543  0.14525579 -0.15311649  0.1183212  -0.04827683  0.00522185
  0.01814045 -0.00143972 -0.07952998 -0.05212222  0.09905649 -0.18988241
  0.17611764  0.17095309  0.08174331  0.10315154  0.10997485  0.0798353
 -0.01735191  0.05564345 -0.24409424 -0.05940442  0.0576309   0.02935741
  0.11356601 -0.00140843]"
6,0,"[-0.07779815  0.04781418 -0.00782852 -0.07083584 -0.08489251 -0.04114468
 -0.05714459 -0.14838248  0.15808149 -0.15754442  0.19284539 -0.04067666
 -0.14489338  0.00431908 -0.029731    0.11550198 -0.199838   -0.17598991
 -0.05987565 -0.00348181  0.04946879 -0.05753928 -0.01982316  0.05320887
 -0.0846723  -0.25092405 -0.14691731 -0.05925637  0.11032899 -0.0252166
 -0.02803051 -0.06597123 -0.1632393  -0.02578509  0.04465415  0.09124088
 -0.00231563 -0.10320661  0.24311644 -0.12024542 -0.24005629  0.06765337
  0.07690387  0.1777      0.17846669  0.05998965 -0.00702588 -0.16836061
  0.18228085 -0.13801628  0.04472902  0.14271867  0.0874045   0.07693924
  0.00455397 -0.14096238  0.05316722  0.11932003 -0.14282714  0.00693098
  0.09130219 -0.01202241  0.01999175 -0.08386694  0.18469062  0.04524022
 -0.12161206 -0.24518436  0.12691298 -0.21185572 -0.08864745  0.09925582
 -0.11605164 -0.19332194 -0.26653928 -0.00308532  0.42399111  0.15165398
 -0.13870244  0.09541021 -0.02496553 -0.06132727  0.11688038  0.08671489
 -0.0441676   0.02634678 -0.11980464 -0.0012027   0.31334096 -0.04118259
 -0.0368208   0.13929836  0.00651221  0.08628881  0.00765249  0.09084765
 -0.06960679  0.05393664 -0.16129902  0.02157377  0.05913173  0.01925616
 -0.00616872  0.10806885 -0.14564994  0.17557357 -0.01721284  0.01021777
 -0.05071509  0.03582352 -0.138897   -0.00493379  0.16623732 -0.24886197
  0.20883465  0.16359991  0.10090991  0.09505707  0.13929956  0.05352131
  0.01545665  0.00231176 -0.24208577 -0.08513638  0.04680386 -0.02608239
  0.15682368  0.05108676]"
7,0,"[-0.09343923 -0.01784662  0.0568702  -0.0402298  -0.0592836  -0.08412777
 -0.07126472 -0.15354154  0.09065272 -0.12856182  0.20323814 -0.07613225
 -0.16503343 -0.08547065 -0.04936138  0.18080302 -0.20698182 -0.09685215
 -0.0394683  -0.03530237  0.05775506 -0.03196399 -0.00133305  0.0186048
 -0.05035193 -0.28758463 -0.11298018 -0.07616782  0.06751002 -0.00656528
 -0.06093844 -0.03516441 -0.21113044 -0.08185676  0.04759491  0.09658457
 -0.0160975  -0.0925067   0.17692603 -0.10260818 -0.20935971  0.05539969
  0.10320923  0.18001319  0.15176263  0.1203868  -0.01556655 -0.11829561
  0.16952315 -0.14948238  0.08496124  0.09262578  0.11350077  0.03487203
  0.03343132 -0.12693849  0.07050266  0.13639066 -0.15918699  0.03851406
  0.13844076 -0.06119771  0.02761575 -0.05785588  0.22754766  0.05522756
 -0.10144305 -0.15905416  0.16045763 -0.14017707 -0.06058364  0.01004666
 -0.11650981 -0.17657083 -0.30778712  0.01871674  0.39015287  0.14406294
 -0.16650905  0.06980377 -0.0164379   0.00951322  0.19372755  0.10999698
  0.01547896  0.01141188 -0.10058603 -0.03894932  0.24108458 -0.04570942
 -0.04131067  0.14701563 -0.01311052  0.02640799  0.00198628 -0.00739989
 -0.08099575  0.0407785  -0.16302219 -0.00179192  0.05929144  0.01567651
  0.01607001  0.1086233  -0.12605456  0.11741871 -0.01570513  0.01024836
 -0.00209696  0.01188673 -0.12490247 -0.02790784  0.09533867 -0.21577904
  0.25888628  0.15553305  0.09785541  0.11903023  0.11478069  0.07527778
  0.02530488 -0.00802876 -0.23140018 -0.10232593  0.09568818 -0.02145531
  0.18493764  0.0576753 ]"
8,0,"[-0.06615707  0.08556242  0.02295649 -0.09467268 -0.105618    0.00308817
 -0.05694639 -0.09469321  0.13972947 -0.10612262  0.24594924 -0.05187479
 -0.23781517  0.00352399 -0.07186374  0.14789192 -0.23372597 -0.09220953
 -0.00983977 -0.05999377  0.04469856  0.00551571  0.01949854  0.09077035
 -0.0097818  -0.25704551 -0.13084885 -0.07254409  0.08781273 -0.06491464
 -0.064294   -0.02335986 -0.15738142 -0.08264107  0.08945766  0.0756501
 -0.00435125 -0.09726909  0.17975347 -0.06360545 -0.11084946  0.05436529
  0.08721053  0.2545248   0.1998558   0.10332751 -0.02554231 -0.20046586
  0.17350999 -0.1871943   0.06360061  0.15378299  0.06545799  0.07841952
 -0.04326171 -0.1739253   0.07420737  0.11824796 -0.15900266  0.04606626
  0.12324154 -0.06875944  0.03849154 -0.0455913   0.1977322   0.04553678
 -0.12877321 -0.2728577   0.08717678 -0.18689923 -0.08216069  0.08806625
 -0.16608857 -0.15728426 -0.28566402  0.03641178  0.4056915   0.1579446
 -0.10916275  0.05015465 -0.08069659 -0.01802871  0.11001737  0.11094999
 -0.04142409 -0.06762636 -0.15736529  0.02314462  0.23961961 -0.08188739
 -0.06440502  0.18284747 -0.00651109  0.09635843  0.02128051  0.1281487
 -0.13415581  0.05831549 -0.18793876 -0.0081552  -0.00051358  0.00344477
  0.0047687   0.13614729 -0.16548602  0.11748696 -0.06437393 -0.02346551
 -0.05731001 -0.06071726 -0.13392839 -0.00790103  0.16781239 -0.24682367
  0.21076715  0.1937805   0.16334666  0.1169507   0.131219    0.0546031
  0.02257119 -0.0606907  -0.18902642 -0.05083697  0.04021764  0.00340804
  0.11319347  0.00219119]"
9,0,"[-0.08024974  0.02737659  0.08998556 -0.03510447 -0.08887205 -0.03564743
 -0.09577348 -0.10345326  0.11257967 -0.16255099  0.21326481 -0.05677572
 -0.18397395 -0.04037338  0.02628625  0.15578914 -0.21853268 -0.14433646
 -0.09585027 -0.0037758   0.0282396  -0.05604533  0.00974929  0.05169826
 -0.09594633 -0.29635516 -0.14722545 -0.09825009  0.11040476 -0.06277899
 -0.11164576 -0.05394858 -0.13160729 -0.02060403  0.0643321   0.09077679
  0.01149696 -0.08179367  0.21792288 -0.11760257 -0.26466063  0.01180511
  0.07066961  0.1824306   0.21919756  0.10880905 -0.02007606 -0.12075471
  0.1583984  -0.18586393  0.13447484  0.19461146  0.06801853  0.11132476
  0.00072655 -0.17857827  0.0584243   0.17209283 -0.13764235  0.03142826
  0.10825564 -0.09804535  0.03101927  0.00711314  0.22292608  0.1231622
 -0.14364783 -0.20776662  0.13196754 -0.17113461 -0.05526381  0.01135121
 -0.20055218 -0.15268102 -0.30461419 -0.00774747  0.43484503  0.11010718
 -0.20127936  0.03395937 -0.05997973 -0.04296002  0.1192615   0.15491514
 -0.07049388 -0.0282017  -0.11423646  0.02691901  0.24155769 -0.06483257
  0.03248607  0.14213794 -0.00097586  0.0267338   0.02695113  0.08115886
 -0.09725152 -0.01695123 -0.16574483 -0.02753633  0.05629721 -0.00187136
 -0.0151485   0.14351366 -0.18119645  0.16536124  0.01118857 -0.01963156
 -0.01114702 -0.00600385 -0.08159999 -0.05971902  0.16207084 -0.16829962
  0.23374172  0.20311236  0.12554269  0.12071951  0.11203784  0.11324273
  0.01062207 -0.01659116 -0.20343997 -0.04096133  0.05444501  0.00228619
  0.1186598   0.03901989]"
